id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
1012,2023-01-26 12:35:11.848829,4.6,3.2,1.4,0.2,0
1011,2023-01-26 12:35:10.832820,7.2,3.6,6.1,2.5,2
1010,2023-01-26 12:35:09.817379,5.7,3.0,4.2,1.2,1
1009,2023-01-26 12:35:08.801788,5.6,2.5,3.9,1.1,1
1008,2023-01-26 12:35:07.780596,6.7,3.0,5.2,2.3,2
1007,2023-01-26 12:35:06.756924,5.4,3.4,1.5,0.4,0
1006,2023-01-26 12:35:05.738412,5.0,3.6,1.4,0.2,0
1005,2023-01-26 12:35:04.715075,6.4,3.2,4.5,1.5,1
1004,2023-01-26 12:35:03.697451,6.5,2.8,4.6,1.5,1
1003,2023-01-26 12:35:02.689784,5.0,3.5,1.6,0.6,0
1002,2023-01-26 12:35:01.663120,5.0,3.3,1.4,0.2,0
1001,2023-01-26 12:35:00.637947,5.3,3.7,1.5,0.2,0
1000,2023-01-26 12:34:59.623854,6.4,3.1,5.5,1.8,2
999,2023-01-26 12:34:58.600901,6.0,2.2,4.0,1.0,1
998,2023-01-26 12:34:57.578445,5.7,2.6,3.5,1.0,1
997,2023-01-26 12:34:56.550824,6.4,2.8,5.6,2.2,2
996,2023-01-26 12:34:55.525462,6.3,2.7,4.9,1.8,2
995,2023-01-26 12:34:54.495978,6.5,3.0,5.2,2.0,2
994,2023-01-26 12:34:53.473088,6.7,3.1,4.4,1.4,1
993,2023-01-26 12:34:52.450310,4.6,3.2,1.4,0.2,0
992,2023-01-26 12:34:51.428253,6.3,2.9,5.6,1.8,2
991,2023-01-26 12:34:50.409062,6.1,3.0,4.6,1.4,1
990,2023-01-26 12:34:49.388468,6.4,2.8,5.6,2.2,2
989,2023-01-26 12:34:48.368849,4.7,3.2,1.6,0.2,0
988,2023-01-26 12:34:47.353633,6.2,2.9,4.3,1.3,1
987,2023-01-26 12:34:46.321011,7.2,3.6,6.1,2.5,2
986,2023-01-26 12:34:45.298181,7.7,2.6,6.9,2.3,2
985,2023-01-26 12:34:44.269622,4.4,2.9,1.4,0.2,0
984,2023-01-26 12:34:43.247249,6.3,3.4,5.6,2.4,2
983,2023-01-26 12:34:42.228592,6.8,2.8,4.8,1.4,1
982,2023-01-26 12:34:41.205258,4.8,3.1,1.6,0.2,0
981,2023-01-26 12:34:40.176375,5.0,3.5,1.6,0.6,0
980,2023-01-26 12:34:39.150576,6.3,3.3,4.7,1.6,1
979,2023-01-26 12:34:38.129194,6.0,2.2,5.0,1.5,2
978,2023-01-26 12:34:37.103419,5.2,4.1,1.5,0.1,0
977,2023-01-26 12:34:36.083268,4.6,3.1,1.5,0.2,0
976,2023-01-26 12:34:35.062035,5.7,2.8,4.1,1.3,1
975,2023-01-26 12:34:34.039371,6.7,3.1,5.6,2.4,2
974,2023-01-26 12:34:32.998976,7.7,2.8,6.7,2.0,2
973,2023-01-26 12:34:31.981165,5.0,3.6,1.4,0.2,0
972,2023-01-26 12:34:30.966969,4.8,3.1,1.6,0.2,0
971,2023-01-26 12:34:29.945426,7.7,2.6,6.9,2.3,2
970,2023-01-26 12:34:28.928536,7.2,3.0,5.8,1.6,2
969,2023-01-26 12:34:27.909636,6.1,3.0,4.9,1.8,2
968,2023-01-26 12:34:26.891872,6.1,2.9,4.7,1.4,1
967,2023-01-26 12:34:25.867925,6.3,2.3,4.4,1.3,1
966,2023-01-26 12:34:24.659033,5.9,3.0,4.2,1.5,1
965,2023-01-26 12:34:23.497966,6.0,2.9,4.5,1.5,1
964,2023-01-26 12:34:22.394670,5.8,2.7,5.1,1.9,2
963,2023-01-26 12:34:21.366448,6.2,2.2,4.5,1.5,1
962,2023-01-26 12:34:20.350447,4.6,3.6,1.0,0.2,0
961,2023-01-26 12:34:19.323627,5.7,2.5,5.0,2.0,2
960,2023-01-26 12:34:18.299074,7.1,3.0,5.9,2.1,2
959,2023-01-26 12:34:17.289553,6.7,3.1,4.4,1.4,1
958,2023-01-26 12:34:16.265508,5.7,3.8,1.7,0.3,0
957,2023-01-26 12:34:15.248148,4.4,3.0,1.3,0.2,0
956,2023-01-26 12:34:14.225086,5.9,3.2,4.8,1.8,1
955,2023-01-26 12:34:13.206551,5.5,4.2,1.4,0.2,0
954,2023-01-26 12:34:12.192138,5.7,2.5,5.0,2.0,2
953,2023-01-26 12:34:11.177561,6.3,3.3,6.0,2.5,2
952,2023-01-26 12:34:10.131635,7.7,2.8,6.7,2.0,2
951,2023-01-26 12:34:09.115167,4.8,3.1,1.6,0.2,0
950,2023-01-26 12:34:08.098411,6.1,2.9,4.7,1.4,1
949,2023-01-26 12:34:07.086141,6.6,2.9,4.6,1.3,1
948,2023-01-26 12:34:06.069207,4.9,3.1,1.5,0.2,0
947,2023-01-26 12:34:05.056387,5.1,3.3,1.7,0.5,0
946,2023-01-26 12:34:04.035376,6.9,3.1,4.9,1.5,1
945,2023-01-26 12:34:03.021223,4.6,3.6,1.0,0.2,0
944,2023-01-26 12:34:02.006942,5.0,3.5,1.6,0.6,0
943,2023-01-26 12:34:00.958999,5.8,2.8,5.1,2.4,2
942,2023-01-26 12:33:59.939287,6.4,2.8,5.6,2.2,2
941,2023-01-26 12:33:58.900429,5.2,4.1,1.5,0.1,0
940,2023-01-26 12:33:57.879499,6.3,2.5,4.9,1.5,1
939,2023-01-26 12:33:56.856087,4.9,3.1,1.5,0.1,0
938,2023-01-26 12:33:55.819560,5.7,3.8,1.7,0.3,0
937,2023-01-26 12:33:54.788411,5.1,3.8,1.9,0.4,0
