id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
167,2023-02-06 04:48:44.789431,5.4,3.7,1.5,0.2,0
166,2023-02-06 04:48:43.776169,5.7,4.4,1.5,0.4,0
165,2023-02-06 04:48:42.760585,4.7,3.2,1.6,0.2,0
164,2023-02-06 04:48:41.749366,5.0,3.3,1.4,0.2,0
163,2023-02-06 04:48:40.734179,6.8,3.2,5.9,2.3,2
162,2023-02-06 04:48:39.712458,5.7,4.4,1.5,0.4,0
161,2023-02-06 04:48:38.698323,6.2,2.2,4.5,1.5,1
160,2023-02-06 04:48:37.684834,6.9,3.1,5.1,2.3,2
159,2023-02-06 04:48:36.676255,5.9,3.0,5.1,1.8,2
158,2023-02-06 04:48:35.650717,5.1,3.3,1.7,0.5,0
157,2023-02-06 04:48:34.631748,5.2,4.1,1.5,0.1,0
156,2023-02-06 04:48:33.605287,5.7,2.8,4.1,1.3,1
155,2023-02-06 04:48:32.591733,4.5,2.3,1.3,0.3,0
154,2023-02-06 04:48:31.564813,4.4,3.0,1.3,0.2,0
153,2023-02-06 04:48:30.545373,5.7,2.9,4.2,1.3,1
152,2023-02-06 04:48:29.532054,6.2,3.4,5.4,2.3,2
151,2023-02-06 04:48:28.503567,5.4,3.9,1.3,0.4,0
150,2023-02-06 04:48:27.478949,5.6,2.9,3.6,1.3,1
149,2023-02-06 04:48:26.449713,6.0,2.9,4.5,1.5,1
148,2023-02-06 04:48:25.430669,4.4,3.0,1.3,0.2,0
147,2023-02-06 04:48:24.408178,6.5,3.0,5.5,1.8,2
146,2023-02-06 04:48:23.389714,7.0,3.2,4.7,1.4,1
145,2023-02-06 04:48:22.366650,5.2,3.4,1.4,0.2,0
144,2023-02-06 04:48:21.353237,6.7,3.3,5.7,2.5,2
143,2023-02-06 04:48:20.338768,7.7,3.0,6.1,2.3,2
142,2023-02-06 04:48:19.313790,5.0,2.3,3.3,1.0,1
141,2023-02-06 04:48:18.291292,5.7,3.8,1.7,0.3,0
140,2023-02-06 04:48:17.272288,6.6,2.9,4.6,1.3,1
139,2023-02-06 04:48:16.243826,6.9,3.2,5.7,2.3,2
138,2023-02-06 04:48:15.221462,4.4,3.2,1.3,0.2,0
137,2023-02-06 04:48:14.198095,6.1,2.8,4.7,1.2,1
136,2023-02-06 04:48:13.178113,4.6,3.2,1.4,0.2,0
135,2023-02-06 04:48:12.151764,5.2,4.1,1.5,0.1,0
134,2023-02-06 04:48:11.128476,4.3,3.0,1.1,0.1,0
133,2023-02-06 04:48:10.118938,6.3,2.3,4.4,1.3,1
132,2023-02-06 04:48:09.102603,6.3,2.8,5.1,1.5,2
131,2023-02-06 04:48:08.082214,4.4,3.2,1.3,0.2,0
130,2023-02-06 04:48:07.057756,6.7,3.0,5.0,1.7,1
129,2023-02-06 04:48:06.027405,5.6,3.0,4.5,1.5,1
128,2023-02-06 04:48:05.005163,5.7,2.8,4.5,1.3,1
127,2023-02-06 04:48:03.986748,6.9,3.1,5.1,2.3,2
126,2023-02-06 04:48:02.967892,4.6,3.1,1.5,0.2,0
125,2023-02-06 04:48:01.953005,5.1,3.4,1.5,0.2,0
124,2023-02-06 04:48:00.936483,6.7,3.3,5.7,2.1,2
123,2023-02-06 04:47:59.913134,4.7,3.2,1.3,0.2,0
122,2023-02-06 04:47:58.883413,4.9,3.1,1.5,0.1,0
121,2023-02-06 04:47:57.856921,5.7,2.8,4.1,1.3,1
120,2023-02-06 04:47:56.841289,6.3,2.8,5.1,1.5,2
119,2023-02-06 04:47:55.820622,6.0,2.2,5.0,1.5,2
118,2023-02-06 04:47:54.807183,6.4,2.8,5.6,2.1,2
117,2023-02-06 04:47:53.794221,5.2,3.4,1.4,0.2,0
116,2023-02-06 04:47:52.766161,6.6,3.0,4.4,1.4,1
115,2023-02-06 04:47:51.752603,5.1,3.4,1.5,0.2,0
114,2023-02-06 04:47:50.727822,6.0,2.9,4.5,1.5,1
113,2023-02-06 04:47:49.720764,5.4,3.4,1.5,0.4,0
112,2023-02-06 04:47:48.696118,6.0,3.4,4.5,1.6,1
111,2023-02-06 04:47:47.676014,6.3,3.4,5.6,2.4,2
110,2023-02-06 04:47:46.659198,5.7,4.4,1.5,0.4,0
109,2023-02-06 04:47:45.641438,4.8,3.0,1.4,0.1,0
108,2023-02-06 04:47:44.615000,6.8,3.2,5.9,2.3,2
107,2023-02-06 04:47:43.586765,4.9,3.1,1.5,0.1,0
106,2023-02-06 04:47:42.561768,5.1,2.5,3.0,1.1,1
105,2023-02-06 04:47:41.530239,7.7,3.8,6.7,2.2,2
104,2023-02-06 04:47:40.506474,6.0,3.0,4.8,1.8,2
103,2023-02-06 04:47:39.492797,5.6,2.5,3.9,1.1,1
102,2023-02-06 04:47:38.481924,6.5,3.0,5.8,2.2,2
101,2023-02-06 04:47:37.467389,5.9,3.0,5.1,1.8,2
100,2023-02-06 04:47:36.451849,5.6,2.5,3.9,1.1,1
99,2023-02-06 04:47:35.419316,7.2,3.2,6.0,1.8,2
98,2023-02-06 04:47:34.386482,5.4,3.7,1.5,0.2,0
97,2023-02-06 04:47:33.330852,6.2,2.8,4.8,1.8,2
96,2023-02-06 04:47:32.295337,5.7,2.8,4.5,1.3,1
95,2023-02-06 04:47:31.278611,6.1,2.6,5.6,1.4,2
94,2023-02-06 04:47:30.242553,5.0,3.3,1.4,0.2,0
93,2023-02-06 04:47:29.223387,5.5,2.6,4.4,1.2,1
92,2023-02-06 04:47:28.181734,6.8,3.0,5.5,2.1,2
91,2023-02-06 04:47:27.147323,5.1,3.4,1.5,0.2,0
90,2023-02-06 04:47:26.120167,5.1,2.5,3.0,1.1,1
89,2023-02-06 04:47:25.095018,5.2,3.4,1.4,0.2,0
88,2023-02-06 04:47:24.066106,5.4,3.9,1.3,0.4,0
87,2023-02-06 04:47:23.052097,6.7,3.3,5.7,2.1,2
86,2023-02-06 04:47:22.034679,5.8,2.7,3.9,1.2,1
85,2023-02-06 04:47:21.015446,5.1,3.8,1.9,0.4,0
84,2023-02-06 04:47:19.991283,5.2,3.4,1.4,0.2,0
83,2023-02-06 04:47:18.975234,6.7,3.3,5.7,2.1,2
82,2023-02-06 04:47:17.957687,6.4,2.8,5.6,2.1,2
81,2023-02-06 04:47:16.750472,4.6,3.1,1.5,0.2,0
80,2023-02-06 04:47:15.744761,6.3,2.8,5.1,1.5,2
79,2023-02-06 04:47:14.729740,5.2,4.1,1.5,0.1,0
78,2023-02-06 04:47:13.705367,6.9,3.1,5.4,2.1,2
77,2023-02-06 04:47:12.686993,5.9,3.0,4.2,1.5,1
76,2023-02-06 04:47:11.668695,5.8,2.6,4.0,1.2,1
75,2023-02-06 04:47:10.643517,5.7,2.6,3.5,1.0,1
74,2023-02-06 04:47:09.612503,6.4,2.7,5.3,1.9,2
73,2023-02-06 04:47:08.584240,4.4,3.2,1.3,0.2,0
72,2023-02-06 04:47:07.555108,5.5,2.3,4.0,1.3,1
71,2023-02-06 04:47:06.530944,6.1,3.0,4.9,1.8,2
70,2023-02-06 04:47:05.508027,5.8,2.7,5.1,1.9,2
69,2023-02-06 04:47:04.475760,5.1,3.4,1.5,0.2,0
68,2023-02-06 04:47:03.453652,5.8,2.7,5.1,1.9,2
